iter	Logloss
0	0.6886839929
1	0.6845759958
2	0.6809248808
3	0.6771901376
4	0.673530041
5	0.6702742576
6	0.6669742961
7	0.6639916988
8	0.6611402603
9	0.6583424104
10	0.6557292295
11	0.6531599153
12	0.6506957961
13	0.6484306243
14	0.6460506086
15	0.6438597626
16	0.6419017452
17	0.6400552251
18	0.6382462127
19	0.6366282714
20	0.6348568561
21	0.6332205331
22	0.6318070369
23	0.6304963471
24	0.6291076572
25	0.6278275853
26	0.626524696
27	0.625385141
28	0.624185576
29	0.6230766162
30	0.6220612516
31	0.6209724774
32	0.6201465754
33	0.6193521918
34	0.6184322689
35	0.6176061053
36	0.6166978281
37	0.6159697719
38	0.6152139713
39	0.6145323962
40	0.6138215619
41	0.6131041158
42	0.6124214559
43	0.611822504
44	0.6111508975
45	0.610548361
46	0.6099239924
47	0.6093520804
48	0.608812612
49	0.6083606546
50	0.6078759497
51	0.6073536296
52	0.6068940592
53	0.6064414431
54	0.606037848
55	0.6055313434
56	0.6050746074
57	0.6046710305
58	0.6043006752
59	0.6040294016
60	0.6035634125
61	0.6032100131
62	0.6028339343
63	0.6025374073
64	0.6021934965
65	0.6018856573
66	0.6015749674
67	0.601280791
68	0.6010648449
69	0.6007130726
70	0.6004550807
71	0.6001819529
72	0.5999704273
73	0.5997317222
74	0.5995276765
75	0.5993303185
76	0.5990898538
77	0.5987553397
78	0.5985091504
79	0.5982919041
80	0.5981195128
81	0.5978948649
82	0.5976979225
83	0.597466504
84	0.5972572232
85	0.5970864293
86	0.5968956803
87	0.5967315618
88	0.5965674012
89	0.5964253683
90	0.5962308812
91	0.5960641814
92	0.5959025202
93	0.5957832481
94	0.5956440798
95	0.5955339564
96	0.5953643539
97	0.5952272615
98	0.5950745257
99	0.5949524403
100	0.5947825085
101	0.594655938
102	0.5945188533
103	0.5943952801
104	0.5942538847
105	0.5940613332
106	0.5939109713
107	0.5937918584
108	0.5936505394
109	0.5935301432
110	0.5933829583
111	0.5932666205
112	0.593072144
113	0.5929742588
114	0.5928648347
115	0.5927402456
116	0.5926235294
117	0.5925140433
118	0.592387984
119	0.5922833329
120	0.5921799068
121	0.5920739175
122	0.5919577748
123	0.5918631233
124	0.5917715709
125	0.5916718134
126	0.5915780689
127	0.5914470095
128	0.5913333762
129	0.5912590943
130	0.5911604059
131	0.5910894283
132	0.5909657525
133	0.590862086
134	0.5907628851
135	0.5906502735
136	0.5905653587
137	0.5904863946
138	0.5903614461
139	0.5902841461
140	0.5901983837
141	0.5901187416
142	0.5900202982
143	0.5899328329
144	0.5898462007
145	0.5897624418
146	0.5896680825
147	0.5895897392
148	0.5894803603
149	0.589406587
150	0.5893362782
151	0.5892651237
152	0.5891886485
153	0.5890973423
154	0.5889996498
155	0.5889044635
156	0.5888358676
157	0.5887440752
158	0.5886441026
159	0.5885534945
160	0.5885007783
161	0.5884252772
162	0.5883443994
163	0.588270176
164	0.5881955012
165	0.588113999
166	0.5880050163
167	0.587945221
168	0.5878454356
169	0.5877737603
170	0.587692543
171	0.5876201311
172	0.5875309684
173	0.5874696076
174	0.5873759159
175	0.5872851055
176	0.5872025697
177	0.5871296962
178	0.5870561665
179	0.5869968066
180	0.5869387436
181	0.5868585029
182	0.5867989806
183	0.5867520792
184	0.5866819408
185	0.5866141086
186	0.586544838
187	0.5864713338
188	0.586403971
189	0.5863470115
190	0.5862866844
191	0.5862390796
192	0.586170887
193	0.5861058472
194	0.5860430062
195	0.5859935315
196	0.5859273289
197	0.5858705414
198	0.5858181958
199	0.5857621702
200	0.5857051201
201	0.5856270862
202	0.5855506472
203	0.5854615167
204	0.5854089188
205	0.5853115214
206	0.5852422924
207	0.5851913261
208	0.5851233491
209	0.5850734832
210	0.5850065311
211	0.5849636705
212	0.5849011195
213	0.5848438352
214	0.5847649083
215	0.5847061891
216	0.5846257063
217	0.5845741255
218	0.5844990112
219	0.5844513508
220	0.5844006298
221	0.5843271373
222	0.5842747351
223	0.5842244739
224	0.5841696498
225	0.5841025053
226	0.5840519151
227	0.5840017128
228	0.583942807
229	0.5838699134
230	0.5838006828
231	0.5837400102
232	0.5836874528
233	0.5836473749
234	0.5836091469
235	0.5835312616
236	0.5834781015
237	0.5834174355
238	0.5833619159
239	0.5833065351
240	0.5832584963
241	0.5832036395
242	0.5831650289
243	0.5830895074
244	0.5830400222
245	0.5829714435
246	0.5829230477
247	0.5828823386
248	0.5828234684
249	0.5827749224
250	0.5827226985
251	0.5826776834
252	0.5826291409
253	0.5825740253
254	0.5825090591
255	0.5824295025
256	0.5823838841
257	0.5823379887
258	0.5822754027
259	0.5822237421
260	0.5821516552
261	0.582095659
262	0.5820489007
263	0.5820029191
264	0.5819533673
265	0.5819016791
266	0.5818499938
267	0.581820406
268	0.5817603132
269	0.5817139845
270	0.5816639404
271	0.581586647
272	0.5815368679
273	0.5814786472
274	0.5814386783
275	0.5813890938
276	0.581362044
277	0.5813074073
278	0.5812713647
279	0.5812291829
280	0.5811639327
281	0.5811226293
282	0.5810561169
283	0.5810122847
284	0.5809634371
285	0.5809192975
286	0.5808583257
287	0.5807906254
288	0.5807323795
289	0.5806956748
290	0.5806591201
291	0.5806060385
292	0.5805454691
293	0.5804800977
294	0.5804081129
295	0.580354839
296	0.5803271312
297	0.5802848777
298	0.5802337381
299	0.5802090247
300	0.5801600347
301	0.5800995335
302	0.5800668422
303	0.5800165626
304	0.5799817714
305	0.5799460454
306	0.5798959845
307	0.579839835
308	0.5798030361
309	0.5797628328
310	0.5797018817
311	0.5796529
312	0.5795954042
313	0.579542901
314	0.5795064482
315	0.5794535794
316	0.5794113049
317	0.5793691017
318	0.5793261035
319	0.5792950221
320	0.5792356394
321	0.579185758
322	0.5791264181
323	0.5790730297
324	0.5790216408
325	0.5789657759
326	0.5789342779
327	0.578877556
328	0.5788376917
329	0.5787806512
330	0.5787373166
331	0.578696625
332	0.5786489515
333	0.5786041549
334	0.5785559826
335	0.5785022972
336	0.5784420361
337	0.5783768346
338	0.5783155874
339	0.5782525521
340	0.5781936437
341	0.5781415401
342	0.5780937796
343	0.5780396363
344	0.5779730598
345	0.5779304573
346	0.5778857601
347	0.5778581915
348	0.5778085244
349	0.5777540413
350	0.5776991756
351	0.5776591496
352	0.5776001689
353	0.5775552663
354	0.5775181389
355	0.5774596841
356	0.5774098368
357	0.5773798081
358	0.5773455965
359	0.5773026415
360	0.5772668377
361	0.5772280722
362	0.5771814317
363	0.5771356625
364	0.5770790903
365	0.5770301074
366	0.5769647652
367	0.5769210953
368	0.5768700905
369	0.5768315274
370	0.576773945
371	0.5767013085
372	0.5766538844
373	0.5766215527
374	0.5765736714
375	0.57653503
376	0.5764759371
377	0.5764168481
378	0.5763758488
379	0.5763488072
380	0.57628552
381	0.5762405766
382	0.5761967623
383	0.5761486619
384	0.5760866602
385	0.5760517498
386	0.5760108954
387	0.5759568401
388	0.5759056636
389	0.5758434821
390	0.5757951709
391	0.5757555088
392	0.5757063653
393	0.5756548462
394	0.5755926512
395	0.5755525467
396	0.5755111665
397	0.5754525992
398	0.5754193431
399	0.5753738927
400	0.575336451
401	0.5752833788
402	0.5752383193
403	0.5751878163
404	0.5751461655
405	0.575090916
406	0.5750654212
407	0.5750386246
408	0.5749998121
409	0.5749794895
410	0.5749369888
411	0.5748670799
412	0.5748206146
413	0.5747937835
414	0.5747388839
415	0.5746876145
416	0.5746288718
417	0.574592038
418	0.5745251249
419	0.5744710969
420	0.5744103557
421	0.5743561479
422	0.5743044384
423	0.5742746506
424	0.5742292475
425	0.5741867177
426	0.5741396732
427	0.5741028588
428	0.5740543327
429	0.5740125468
430	0.5739562472
431	0.5739038741
432	0.5738646763
433	0.5738305213
434	0.5737955636
435	0.5737443308
436	0.5736892871
437	0.5736479201
438	0.5735943259
439	0.5735231003
440	0.5734649746
441	0.5734291269
442	0.5733778039
443	0.5733224219
444	0.5732744993
445	0.5732200562
446	0.5731775654
447	0.573133112
448	0.5730819954
449	0.5730380716
450	0.5729809578
451	0.5729247511
452	0.5728728564
453	0.5728286568
454	0.5727880842
455	0.5727482137
456	0.5727174873
457	0.5726496064
458	0.572600892
459	0.5725812134
460	0.5725309821
461	0.5724877874
462	0.5724476564
463	0.572402482
464	0.5723535575
465	0.5723112899
466	0.5722486449
467	0.572190007
468	0.5721430804
469	0.5720872178
470	0.5720564317
471	0.5720071905
472	0.5719418222
473	0.5718699268
474	0.5718040762
475	0.5717413625
476	0.571684053
477	0.5716157203
478	0.571560356
479	0.5715027966
480	0.5714529891
481	0.5714046374
482	0.5713522342
483	0.5713149064
484	0.5712496674
485	0.5711838041
486	0.5711349669
487	0.5710770216
488	0.5710278027
489	0.5709680087
490	0.5709078774
491	0.5708581087
492	0.5707947072
493	0.5707445267
494	0.5706939471
495	0.5706414986
496	0.5705967692
497	0.5705423007
498	0.5704805611
499	0.5704355942
500	0.5703853839
501	0.570331764
502	0.5702761279
503	0.5702132734
504	0.5701660961
505	0.5701284023
506	0.5700817295
507	0.5700355416
508	0.5700011047
509	0.5699473545
510	0.5698813736
511	0.5698132178
512	0.5697729471
513	0.5697107095
514	0.5696546386
515	0.5696111826
516	0.5695482074
517	0.5695017191
518	0.5694254903
519	0.5693701013
520	0.5693008468
521	0.5692535713
522	0.5692071348
523	0.5691545703
524	0.569112615
525	0.5690602161
526	0.5690043037
527	0.5689560683
528	0.5688994637
529	0.5688493289
530	0.5688030781
531	0.5687568343
532	0.5687097815
533	0.5686477453
534	0.5685951459
535	0.5685647784
536	0.5685250581
537	0.568483055
538	0.5684301654
539	0.568382867
540	0.568333134
541	0.5682836416
542	0.5682406602
543	0.5681863264
544	0.5681345576
545	0.5680973998
546	0.5680618647
547	0.5680107995
548	0.5679461087
549	0.5678885634
550	0.5678339666
551	0.5677681008
552	0.567723662
553	0.5676684713
554	0.5676032197
555	0.5675428512
556	0.5674945054
557	0.5674444049
558	0.5673936148
559	0.5673305628
560	0.5672685178
561	0.5672100224
562	0.5671690155
563	0.5671176177
564	0.5670666752
565	0.5670190873
566	0.5669558114
567	0.5669187626
568	0.5668649408
569	0.5668065981
570	0.5667590286
571	0.5667198962
572	0.5666682099
573	0.5666027794
574	0.566561245
575	0.5665145921
576	0.5664652128
577	0.5664119362
578	0.5663390415
579	0.5662875363
580	0.5662289996
581	0.5661621298
582	0.5661149076
583	0.5660803581
584	0.5660398386
585	0.5659858642
586	0.5659277516
587	0.5658952412
588	0.5658485402
589	0.5658141447
590	0.5657515998
591	0.5657124152
592	0.5656484883
593	0.5656008591
594	0.5655540778
595	0.565510193
596	0.5654468692
597	0.5653880654
598	0.5653558501
599	0.5653043967
600	0.5652607112
601	0.5652091012
