iter	Passed	Remaining
0	62	40348
1	67	22007
2	72	15658
3	77	12582
4	83	10733
5	87	9421
6	92	8497
7	97	7786
8	104	7420
9	109	6985
10	113	6608
11	118	6325
12	123	6061
13	128	5832
14	133	5651
15	138	5484
16	143	5324
17	147	5181
18	152	5053
19	157	4949
20	161	4837
21	166	4741
22	170	4656
23	175	4585
24	180	4510
25	185	4446
26	189	4379
27	195	4332
28	199	4278
29	205	4250
30	212	4237
31	220	4249
32	225	4215
33	230	4184
34	237	4168
35	242	4132
36	247	4107
37	252	4074
38	257	4035
39	262	4010
40	267	3979
41	272	3950
42	278	3929
43	283	3909
44	288	3883
45	294	3862
46	298	3835
47	304	3813
48	309	3790
49	314	3768
50	318	3744
51	323	3722
52	329	3707
53	333	3684
54	339	3670
55	344	3649
56	348	3627
57	353	3606
58	357	3585
59	362	3566
60	367	3551
61	372	3534
62	377	3514
63	381	3497
64	386	3482
65	391	3464
66	396	3448
67	401	3433
68	406	3419
69	410	3403
70	415	3389
71	420	3375
72	425	3361
73	430	3350
74	434	3334
75	444	3354
76	448	3340
77	453	3327
78	458	3314
79	463	3301
80	467	3287
81	473	3276
82	478	3266
83	482	3253
84	488	3243
85	493	3236
86	498	3227
87	504	3219
88	508	3207
89	513	3195
90	518	3184
91	523	3173
92	528	3165
93	533	3154
94	538	3146
95	543	3135
96	548	3126
97	553	3115
98	557	3104
99	562	3094
100	567	3082
101	571	3072
102	576	3062
103	581	3053
104	586	3044
105	591	3033
106	595	3023
107	600	3013
108	605	3004
109	609	2993
110	614	2985
111	619	2975
112	624	2967
113	628	2957
114	634	2950
115	639	2944
116	644	2935
117	649	2927
118	653	2917
119	658	2907
120	663	2900
121	668	2892
122	673	2885
123	678	2876
124	682	2865
125	686	2856
126	691	2847
127	696	2840
128	701	2831
129	706	2825
130	710	2815
131	715	2808
132	720	2801
133	725	2794
134	730	2788
135	736	2782
136	740	2774
137	746	2768
138	751	2761
139	756	2755
140	761	2749
141	766	2742
142	771	2735
143	776	2728
144	780	2719
145	786	2713
146	790	2705
147	795	2698
148	800	2691
149	805	2684
150	810	2679
151	815	2671
152	820	2664
153	824	2656
154	829	2650
155	834	2643
156	839	2636
157	844	2629
158	849	2623
159	853	2615
160	859	2609
161	864	2602
162	868	2595
163	873	2587
164	878	2582
165	883	2575
166	888	2569
167	893	2562
168	898	2556
169	902	2548
170	907	2542
171	912	2535
172	917	2528
173	921	2521
174	926	2513
175	930	2506
176	936	2501
177	941	2495
178	945	2489
179	950	2482
180	955	2475
181	960	2470
182	966	2465
183	971	2460
184	976	2454
185	981	2447
186	986	2441
187	991	2435
188	995	2427
189	1000	2421
190	1005	2415
191	1010	2409
192	1014	2403
193	1019	2397
194	1028	2400
195	1034	2396
196	1039	2390
197	1044	2383
198	1048	2377
199	1053	2370
200	1058	2363
201	1063	2357
202	1068	2352
203	1072	2345
204	1077	2339
205	1082	2333
206	1087	2327
207	1092	2321
208	1097	2314
209	1102	2309
210	1106	2302
211	1111	2296
212	1116	2291
213	1121	2285
214	1126	2279
215	1132	2275
216	1137	2268
217	1141	2262
218	1146	2255
219	1150	2249
220	1155	2243
221	1160	2237
222	1165	2231
223	1170	2225
224	1175	2219
225	1180	2214
226	1184	2207
227	1189	2201
228	1194	2195
229	1199	2190
230	1205	2186
231	1209	2179
232	1214	2173
233	1230	2188
234	1235	2181
235	1241	2177
236	1245	2170
237	1251	2166
238	1256	2160
239	1260	2153
240	1271	2157
241	1276	2151
242	1280	2145
243	1285	2138
244	1289	2132
245	1294	2126
246	1299	2120
247	1303	2113
248	1308	2107
249	1312	2100
250	1317	2094
251	1322	2088
252	1327	2082
253	1332	2076
254	1336	2070
255	1341	2065
256	1346	2059
257	1351	2053
258	1356	2047
259	1361	2041
260	1365	2035
261	1370	2030
262	1375	2024
263	1380	2018
264	1384	2011
265	1388	2005
266	1394	1999
267	1398	1993
268	1403	1987
269	1407	1981
270	1413	1976
271	1418	1971
272	1423	1965
273	1428	1960
274	1433	1954
275	1438	1948
276	1443	1943
277	1447	1937
278	1453	1932
279	1457	1926
280	1463	1921
281	1467	1915
282	1472	1909
283	1477	1903
284	1482	1898
285	1486	1892
286	1491	1886
287	1496	1881
288	1501	1875
289	1506	1870
290	1511	1864
291	1516	1859
292	1520	1853
293	1525	1847
294	1535	1847
295	1540	1841
296	1544	1836
297	1549	1830
298	1554	1824
299	1558	1818
300	1563	1812
301	1568	1807
302	1572	1801
303	1577	1795
304	1581	1789
305	1586	1784
306	1591	1778
307	1596	1773
308	1601	1767
309	1606	1761
310	1611	1756
311	1615	1750
312	1620	1744
313	1624	1738
314	1629	1733
315	1634	1727
316	1639	1722
317	1644	1716
318	1648	1710
319	1653	1704
320	1657	1699
321	1662	1693
322	1667	1687
323	1671	1682
324	1676	1676
325	1681	1671
326	1686	1665
327	1691	1660
328	1695	1654
329	1700	1648
330	1705	1643
331	1710	1638
332	1715	1632
333	1720	1627
334	1725	1622
335	1731	1617
336	1736	1612
337	1741	1607
338	1745	1601
339	1750	1596
340	1755	1590
341	1761	1586
342	1766	1580
343	1771	1575
344	1776	1570
345	1780	1564
346	1785	1559
347	1790	1553
348	1795	1548
349	1800	1542
350	1804	1537
351	1809	1531
352	1814	1526
353	1819	1521
354	1824	1515
355	1829	1510
356	1834	1505
357	1838	1499
358	1843	1494
359	1848	1488
360	1852	1483
361	1857	1477
362	1862	1472
363	1867	1467
364	1872	1461
365	1876	1456
366	1881	1450
367	1887	1446
368	1892	1441
369	1897	1436
370	1902	1430
371	1907	1425
372	1912	1420
373	1917	1415
374	1923	1410
375	1927	1404
376	1932	1399
377	1937	1393
378	1942	1388
379	1947	1383
380	1952	1378
381	1956	1372
382	1961	1367
383	1966	1362
384	1971	1357
385	1976	1351
386	1981	1346
387	1986	1341
388	1991	1335
389	1996	1330
390	2001	1325
391	2006	1320
392	2010	1314
393	2015	1309
394	2021	1305
